MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Innisfil T,DAURIO,STAN,LOCAL COUNCILLOR,791,"1,342",ELECTED,NO
Innisfil T,LOUGHEAD,WILLIAM,LOCAL COUNCILLOR,459,857,ELECTED,YES
Innisfil T,PAYNE,CAROLYN,LOCAL COUNCILLOR,914,"1,973",ELECTED,NO
Innisfil T,NICOL,ROB,LOCAL COUNCILLOR,535,"1,860",ELECTED,NO
King Tp,PELLEGRINI,STEVE,MAYOR, -   , -   ,ACCLAIMED,YES
King Tp,MORTELLITI,CLEVE,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
King Tp,BOYD,DAVID,LOCAL COUNCILLOR,942,"1,741",ELECTED,NO
King Tp,PABST,LINDA,LOCAL COUNCILLOR,341,513,ELECTED,YES
King Tp,COBER,BILL,LOCAL COUNCILLOR,"1,032","1,509",ELECTED,YES
King Tp,SCHAEFER,DEBBIE,LOCAL COUNCILLOR,550,943,ELECTED,YES
King Tp,EEK,AVIA,LOCAL COUNCILLOR,322,398,ELECTED,YES
Lake of Bays Tp,YOUNG,ROBERT,MAYOR,,,ACCLAIMED,YES
Lake of Bays Tp,BAKER,SHANE,LOCAL AND DISTRICT COUNCILLOR,,,ACCLAIMED,YES
Lake of Bays Tp,GLOVER,TERRY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Lake of Bays Tp,LACROIX,ROBERT,LOCAL AND DISTRICT COUNCILLOR,"1,026","1,352",ELECTED,YES
Lake of Bays Tp,TAPLEY,NANCY,LOCAL COUNCILLOR,632,"1,031",ELECTED,YES
Lake of Bays Tp,BURGESS,VIRGINIA (GINNY),LOCAL COUNCILLOR,468,665,ELECTED,YES
Lake of Bays Tp,MCEACHERN ROSS,RUTH,LOCAL COUNCILLOR,464,254,ELECTED,YES
Lincoln T,EASTON,SANDRA,MAYOR,"2,312","6,486",ELECTED,NO
Lincoln T,FOSTER,ROB,LOCAL COUNCILLOR,694,"2,137",ELECTED,YES
Lincoln T,RINTJEMA,DIANNE,LOCAL COUNCILLOR,965,"2,137",ELECTED,YES
Lincoln T,BRUNET,TONY,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Lincoln T,PACHEREVA,JOHN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Lincoln T,MACPHERSON,PAUL,LOCAL COUNCILLOR,"1,064","3,108",ELECTED,NO
Lincoln T,THOMPSON,DAVE,LOCAL COUNCILLOR,683,"3,108",ELECTED,YES
Lincoln T,MACMILLAN,WAYNE,LOCAL COUNCILLOR,735,"2,244",ELECTED,NO
Lincoln T,TIMMERS,LYNN,LOCAL COUNCILLOR,703,"2,244",ELECTED,NO
Markham C,SCARPITTI,FRANK,MAYOR,"50,065","59,862",ELECTED,YES
Markham C,ARMSTRONG,NIRMALA,LOCAL AND REGIONAL COUNCILLOR,"23,834","226,029",ELECTED,NO
Markham C,HEATH,JACK,LOCAL AND REGIONAL COUNCILLOR,"37,668","226,029",ELECTED,YES
Markham C,JONES,JIM,LOCAL AND REGIONAL COUNCILLOR,"33,119","226,029",ELECTED,YES
Markham C,LI,JOE,LOCAL AND REGIONAL COUNCILLOR,"29,247","226,029",ELECTED,YES
Markham C,BURKE,VALERIE,LOCAL COUNCILLOR,"7,055","9,870",ELECTED,YES
Markham C,HO,ALAN,LOCAL COUNCILLOR,"2,932","7,463",ELECTED,YES
Markham C,HAMILTON,DON,LOCAL COUNCILLOR,"6,212","8,375",ELECTED,YES
Markham C,REA,KAREN,LOCAL COUNCILLOR,"4,754","11,084",ELECTED,NO
Markham C,CAMPBELL,COLIN,LOCAL COUNCILLOR,"3,527","6,388",ELECTED,YES
Markham C,COLLUCCI,AMANDA YEUNG,LOCAL COUNCILLOR,"1,683","6,507",ELECTED,NO
Markham C,KANAPATHI,LOGAN,LOCAL COUNCILLOR,"5,673","11,758",ELECTED,YES
Markham C,CHIU,ALEX,LOCAL COUNCILLOR,"2,828","9,260",ELECTED,YES
Melancthon Tp,WHITE,DARREN,MAYOR,470,858,ELECTED,YES
Melancthon Tp,BESLEY,DAVE,LOCAL COUNCILLOR,494,"2,154",ELECTED,NO
Melancthon Tp,WEBSTER,JAMES C.,LOCAL COUNCILLOR,445,"2,154",ELECTED,NO
Melancthon Tp,HANNON,WAYNE,LOCAL COUNCILLOR,406,"2,154",ELECTED,NO
Melancthon Tp,ELLIOTT,JANICE,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Midland T,MCKAY,GORD,MAYOR,"2,449","5,416",ELECTED,YES
Midland T,ROSS,MIKE,DEPUTY MAYOR,"2,067","5,416",ELECTED,YES
Midland T,MAIN,JONATHAN G.,LOCAL COUNCILLOR,"1,020","2,361",ELECTED,NO
Midland T,FILE,PATRICIA,LOCAL COUNCILLOR,866,"2,361",ELECTED,YES
Midland T,MACDONALD,GEORGE,LOCAL COUNCILLOR,844,"2,361",ELECTED,NO
Midland T,OSCHEFSKI,CODY,LOCAL COUNCILLOR,910,"2,292",ELECTED,NO
Midland T,CANNING,GLEN,LOCAL COUNCILLOR,907,"2,292",ELECTED,NO
Midland T,CONTIN,JACK,LOCAL COUNCILLOR,878,"2,292",ELECTED,NO
Midland T,STRATHEARN,STEWART,LOCAL COUNCILLOR,455,763,ELECTED,NO
Milton T,KRANTZ,GORD,MAYOR,"13,830","18,404",ELECTED,YES
Milton T,CLUETT,MIKE,LOCAL AND REGIONAL COUNCILLOR,"3,391","7,897",ELECTED,YES
Milton T,BEST,COLIN,LOCAL AND REGIONAL COUNCILLOR,"9,779","10,365",ELECTED,YES
Milton T,DUVALL,ROBERT,LOCAL COUNCILLOR,474,"1,549",ELECTED,NO
Milton T,BOUGHTON,MIKE,LOCAL COUNCILLOR,803,"3,281",ELECTED,NO
Milton T,LUNAU,CINDY,LOCAL COUNCILLOR,"1,039","1,732",ELECTED,YES
Milton T,MALBOEUF,RICK,LOCAL COUNCILLOR,"1,593","2,769",ELECTED,YES
Milton T,HUFFMAN,ARNOLD,LOCAL COUNCILLOR,"1,079","2,705",ELECTED,YES
Milton T,POLLARD,JOHN,LOCAL COUNCILLOR,556,"1,731",ELECTED,NO
Milton T,DI LORENZO,RICK,LOCAL COUNCILLOR,"1,282","1,970",ELECTED,YES
Milton T,HAMID,ZEESHAN,LOCAL COUNCILLOR,"1,184","2,735",ELECTED,YES
Mississauga C,CROMBIE,BONNIE,MAYOR,"102,346","161,199",ELECTED,YES
Mississauga C,TOVEY,JIM,LOCAL AND REGIONAL COUNCILLOR,"7,911","11,121",ELECTED,YES
Mississauga C,RAS,KAREN,LOCAL AND REGIONAL COUNCILLOR,"3,544","12,645",ELECTED,NO
Mississauga C,FONSECA,CHRIS,LOCAL AND REGIONAL COUNCILLOR,"10,923","13,980",ELECTED,YES
Mississauga C,DALE,FRANK,LOCAL AND REGIONAL COUNCILLOR,"10,353","14,607",ELECTED,YES
Mississauga C,PARRISH,CAROLYN,LOCAL AND REGIONAL COUNCILLOR,"6,025","15,378",ELECTED,NO
Mississauga C,STARR,RON,LOCAL AND REGIONAL COUNCILLOR,"10,322","17,358",ELECTED,YES
Mississauga C,IANNICCA,NANDO,LOCAL AND REGIONAL COUNCILLOR,"8,421","13,923",ELECTED,YES
Mississauga C,MAHONEY,MATT,LOCAL AND REGIONAL COUNCILLOR,"7,522","17,138",ELECTED,NO
Mississauga C,SAITO,PAT,LOCAL AND REGIONAL COUNCILLOR,"9,065","13,904",ELECTED,YES
Mississauga C,MCFADDEN,SUE,LOCAL AND REGIONAL COUNCILLOR,"11,477","14,858",ELECTED,YES
Mississauga C,CARLSON,GEORGE,LOCAL AND REGIONAL COUNCILLOR,"8,964","13,144",ELECTED,YES
Mono T,RYAN,LAURA,MAYOR,,,ACCLAIMED,YES
Mono T,MCGHEE,KEN,DEPUTY MAYOR,895,"1,676",ELECTED,YES
Mono T,MANKTELOW,RALPH,LOCAL COUNCILLOR,976,"4,538",ELECTED,NO
Mono T,NIX,FRED,LOCAL COUNCILLOR,849,"4,538",ELECTED,YES
Mono T,MARTIN,SHARON,LOCAL COUNCILLOR,845,"4,538",ELECTED,NO
Mulmur Tp,HORNER,JANET,LOCAL COUNCILLOR,945,"3,145",ELECTED,NO
Mulmur Tp,HAWKINS,EARL,LOCAL COUNCILLOR,846,"3,145",ELECTED,YES
Mulmur Tp,LOWRY,KEITH,LOCAL COUNCILLOR,811,"3,145",ELECTED,NO
Mulmur Tp,MILLS,PAUL,MAYOR, -   , -   ,ACCLAIMED,YES
Mulmur Tp,HAYES,HEATHER,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Muskoka D,SMITH,GRAYDON,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,CLEMENT,STEVEN,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,GIASCHI-PACINI,LORI-LYNN,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,SMITH,DON,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,DONALDSON,PAISLEY,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,CAIRNS,SANDY,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,KELLY,PAUL,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,PILGER,TERRY,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,AITCHISON,SCOTT,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,ALCOCK,NANCY,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,TERZIANO,KAREN,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,THOMPSON,BRIAN,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,BRAID,LARRY,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,COOPER,PETER,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,WIANCKO,PAUL,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,YOUNG,ROBERT,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,BAKER,SHANE,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,LACROIX,ROBERT,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,FURNISS,DON,LOCAL AND DISTRICT COUNCILLOR,,,,NO
Muskoka D,NISHIKAWA,RUTH-ELLEN,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,EDWARDS,ALLEN,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka D,HARDING,PHIL,LOCAL AND DISTRICT COUNCILLOR,,,,YES
Muskoka Lakes Tp,FURNISS,DON,MAYOR,"4,152","7,341",ELECTED,YES
Muskoka Lakes Tp,NISHIKAWA,RUTH-ELLEN,LOCAL AND DISTRICT COUNCILLOR,"1,343","2,292",ELECTED,YES
Muskoka Lakes Tp,EDWARDS,ALLEN,LOCAL AND DISTRICT COUNCILLOR,,,ACCLAIMED,YES
Muskoka Lakes Tp,HARDING,PHIL,LOCAL AND DISTRICT COUNCILLOR,"1,379","2,808",ELECTED,YES
Muskoka Lakes Tp,CURRIE,SANDY,LOCAL COUNCILLOR,"1,223","2,292",ELECTED,NO
Muskoka Lakes Tp,KRUCKEL,DONELDA,LOCAL COUNCILLOR,"1,005","2,292",ELECTED,YES
Muskoka Lakes Tp,BARRICK-SPEARN,LINDA,LOCAL COUNCILLOR,"1,219","2,241",ELECTED,NO
Muskoka Lakes Tp,MCTAGGART,GAULT,LOCAL COUNCILLOR,"1,318","2,241",ELECTED,YES
Muskoka Lakes Tp,BARANIK,JEAN-ANN,LOCAL COUNCILLOR,"1,702","2,808",ELECTED,YES
Muskoka Lakes Tp,LEDGER,TERRY,LOCAL COUNCILLOR,"1,370","2,808",ELECTED,NO
New Tecumseth T,MILNE,RICK,MAYOR,"4,152","9,092",ELECTED,YES
New Tecumseth T,SMITH,JAMIE,DEPUTY MAYOR,"3,783","8,800",ELECTED,YES
New Tecumseth T,BISS,MARC,LOCAL COUNCILLOR,361,819,ELECTED,NO
New Tecumseth T,BEATTIE,MICHAEL,LOCAL COUNCILLOR,566,"1,206",ELECTED,NO
New Tecumseth T,WHITESIDE,J.J. PAUL,LOCAL COUNCILLOR,676,"1,305",ELECTED,YES
New Tecumseth T,SAINSBURY,FRAN,LOCAL COUNCILLOR,"1,313","1,519",ELECTED,YES
New Tecumseth T,JEBB,DONNA,LOCAL COUNCILLOR,486,636,ELECTED,YES
New Tecumseth T,NORCROSS,RICHARD,LOCAL COUNCILLOR,745,"1,257",ELECTED,YES
New Tecumseth T,HARRISON MCINTYRE,SHARI,LOCAL COUNCILLOR,581,"1,102",ELECTED,NO
New Tecumseth T,ROSS,CHRIS,LOCAL COUNCILLOR,599,"1,233",ELECTED,NO
Newmarket T,VAN BYNEN,TONY,MAYOR,"10,818","20,300",ELECTED,YES
Newmarket T,TAYLOR,JOHN,LOCAL AND REGIONAL COUNCILLOR,"14,459","19,587",ELECTED,YES
Newmarket T,VEGH,TOM,LOCAL COUNCILLOR,"1,982","3,001",ELECTED,YES
Newmarket T,KERWIN,DAVE,LOCAL COUNCILLOR,"1,467","2,932",ELECTED,YES
Newmarket T,TWINNEY,JANE,LOCAL COUNCILLOR,"1,191","2,594",ELECTED,YES
Newmarket T,HEMPEN,TOM,LOCAL COUNCILLOR,"2,221","2,524",ELECTED,YES
Newmarket T,SPONGA,JOE,LOCAL COUNCILLOR,"1,494","3,198",ELECTED,YES
Newmarket T,BROOME-PLUMLEY,KELLY,LOCAL COUNCILLOR,"2,115","3,180",ELECTED,NO
Newmarket T,BISANZ,CHRISTINA,LOCAL COUNCILLOR,"1,796","2,618",ELECTED,NO
Niagara Falls C,DIODATI,JIM,MAYOR,"17,968","21,252",ELECTED,YES
Niagara Falls C,CRAITOR,KIM,LOCAL COUNCILLOR,"13,023","124,382",ELECTED,NO
Niagara Falls C,STRANGE,MIKE,LOCAL COUNCILLOR,"12,374","124,382",ELECTED,NO
Niagara Falls C,THOMSON,WAYNE,LOCAL COUNCILLOR,"9,677","124,382",ELECTED,YES
Niagara Falls C,KERRIO,VINCE,LOCAL COUNCILLOR,"8,331","124,382",ELECTED,YES
Niagara Falls C,PIETRANGELO,VICTOR,LOCAL COUNCILLOR,"8,128","124,382",ELECTED,YES
Niagara Falls C,CAMPBELL,WAYNE,LOCAL COUNCILLOR,"7,426","124,382",ELECTED,YES
Niagara Falls C,MOROCCO,JOYCE,LOCAL COUNCILLOR,"7,286","124,382",ELECTED,YES
Niagara Falls C,IOANNONI,CAROLYNN,LOCAL COUNCILLOR,"7,000","124,382",ELECTED,YES
Niagara R,RIGBY,TIMOTHY,REGIONAL COUNCILLOR,"15,063","33,016",ELECTED,YES
Niagara R,TIMMS,BRUCE,REGIONAL COUNCILLOR,"15,010","33,016",ELECTED,YES
Niagara R,HEIT,BRIAN,REGIONAL COUNCILLOR,"12,396","33,016",ELECTED,YES
Niagara R,CASLIN,ALAN,REGIONAL COUNCILLOR,"11,133","33,016",ELECTED,YES
Niagara R,PETROWSKI,ANDREW,REGIONAL COUNCILLOR,"10,676","33,016",ELECTED,YES
Niagara R,MACGREGOR,DEBORAH,REGIONAL COUNCILLOR,"10,110","33,016",ELECTED,NO
Niagara R,ANNUNZIATA,SANDY,REGIONAL COUNCILLOR,"3,833","10,338",ELECTED,NO
Niagara R,REDEKOP,WAYNE,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Niagara R,BENTLEY,BOB,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Niagara R,QUIRK,TONY,REGIONAL COUNCILLOR,"5,108","8,025",ELECTED,NO
Niagara R,EASTON,SANDRA,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Niagara R,HODGSON,BILL,REGIONAL COUNCILLOR,"4,500","5,956",ELECTED,YES
Niagara R,AUGUSTYN,DAVE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Niagara R,BATY,BRIAN,REGIONAL COUNCILLOR,"2,858","5,821",ELECTED,YES
Niagara R,LUCIANI,TED,LOCAL AND REGIONAL COUNCILLOR,,,,
Niagara R,D'ANGELA,HENRY,REGIONAL COUNCILLOR,"3,797","4,839",ELECTED,YES
Niagara R,JEFFS,APRIL,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Niagara R,JOYNER,DOUGLAS,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Niagara R,SENDZIK,WALTER,LOCAL AND REGIONAL COUNCILLOR,,,ELECTED,NO
Niagara R,DIODATI,JIM,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Niagara R,GALE,BOB,REGIONAL COUNCILLOR,"11,649","47,326",ELECTED,NO
Niagara R,MAVES,BART,REGIONAL COUNCILLOR,"10,858","47,326",ELECTED,YES
Niagara R,VOLPATTI,SELINA,REGIONAL COUNCILLOR,"8,539","47,326",ELECTED,YES
Niagara R,DARTE,PATRICK,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Niagara R,BURROUGHS,GARY,REGIONAL COUNCILLOR,"3,998","6,223",ELECTED,YES
Niagara R,CAMPION,FRANK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Niagara R,MALONEY,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Niagara R,GRENIER,PAUL,REGIONAL COUNCILLOR,"5,224","23,577",ELECTED,YES
Niagara R,MARSHALL,GEORGE H.,REGIONAL COUNCILLOR,"4,355","23,577",ELECTED,YES
Niagara-on-the-Lake T,DARTE,PATRICK,MAYOR,"3,627","6,350",ELECTED,NO
Niagara-on-the-Lake T,WIENS,JOHN,LOCAL COUNCILLOR,"3,641","36,639",ELECTED,NO
Niagara-on-the-Lake T,MAZZA,MARTIN,LOCAL COUNCILLOR,"3,603","36,639",ELECTED,YES
Niagara-on-the-Lake T,BAU-COOTE,MARIA,LOCAL COUNCILLOR,"3,432","36,639",ELECTED,NO
Niagara-on-the-Lake T,DISERO,BETTY,LOCAL COUNCILLOR,"3,330","36,639",ELECTED,NO
Niagara-on-the-Lake T,FLYNN,TERRY,LOCAL COUNCILLOR,"2,842","36,639",ELECTED,YES
Niagara-on-the-Lake T,COLLARD,JIM,LOCAL COUNCILLOR,"2,671","36,639",ELECTED,YES
Niagara-on-the-Lake T,KING,JAMIE,LOCAL COUNCILLOR,"2,471","36,639",ELECTED,YES
Niagara-on-the-Lake T,MIELE,PAOLO,LOCAL COUNCILLOR,"2,235","36,639",ELECTED,NO
Oakville T,BURTON,ROB,MAYOR,"27,727","41,217",ELECTED,YES
Oakville T,ROBINSON,RALPH,LOCAL COUNCILLOR,"3,435","5,747",ELECTED,YES
Oakville T,O'MEARA,SEAN,LOCAL AND REGIONAL COUNCILLOR,"2,587","5,790",ELECTED,NO
Oakville T,DAMOFF,PAM,LOCAL COUNCILLOR,"3,509","4,216",ELECTED,YES
Oakville T,DUDDECK,CATHY,LOCAL AND REGIONAL COUNCILLOR,"3,715","4,275",ELECTED,YES
Oakville T,HUTCHINS,NICK,LOCAL COUNCILLOR,"1,479","6,367",ELECTED,NO
Oakville T,GITTINGS,DAVE,LOCAL AND REGIONAL COUNCILLOR,"5,282","6,208",ELECTED,YES
Oakville T,LAPWORTH,ROGER,LOCAL COUNCILLOR,"5,964","10,087",ELECTED,YES
Oakville T,ELGAR,ALLAN,LOCAL AND REGIONAL COUNCILLOR,"7,953","9,962",ELECTED,YES
Oakville T,GRANT,MARC,LOCAL COUNCILLOR,"3,893","7,510",ELECTED,YES
Oakville T,KNOLL,JEFF,LOCAL AND REGIONAL COUNCILLOR,"3,846","7,875",ELECTED,YES
Oakville T,KHAN,MAX,LOCAL COUNCILLOR,"4,969","5,811",ELECTED,YES
Oakville T,ADAMS,TOM,LOCAL AND REGIONAL COUNCILLOR,"5,524","5,915",ELECTED,YES
Orangeville T,WILLIAMS,JEREMY,MAYOR,"3,940","7,457",ELECTED,YES
Orangeville T,MAYCOCK,WARREN,DEPUTY MAYOR,"3,200","7,300",ELECTED,YES
Orangeville T,BRADLEY,SYLVIA,LOCAL COUNCILLOR,"3,142","30,464",ELECTED,YES
Orangeville T,GARISTO,NICK,LOCAL COUNCILLOR,"3,789","30,464",ELECTED,NO
Orangeville T,KIDD,DON,LOCAL COUNCILLOR,"3,236","30,464",ELECTED,NO
Orangeville T,CAMPBELL,GAIL,LOCAL COUNCILLOR,"2,885","30,464",ELECTED,YES
Orangeville T,WILSON,SCOTT,LOCAL COUNCILLOR,"3,454","30,464",ELECTED,YES
Orillia C,CLARKE,STEVE,MAYOR,"8,090","8,990",ELECTED,NO
Orillia C,EMOND,TED,LOCAL COUNCILLOR,"1,125","4,593",ELECTED,NO
Orillia C,VALIQUETTE,SARAH,LOCAL COUNCILLOR,951,"4,593",ELECTED,NO
Orillia C,CIPOLLA,RALPH,LOCAL COUNCILLOR,732,"3,527",ELECTED,NO
Orillia C,KLOOSTRA,ROB,LOCAL COUNCILLOR,601,"3,527",ELECTED,NO
Orillia C,CLARK,JEFF,LOCAL COUNCILLOR,"1,083","4,801",ELECTED,NO
Orillia C,AINSWORTH,MASON,LOCAL COUNCILLOR,884,"4,801",ELECTED,NO
Orillia C,LAUER,TIM,LOCAL COUNCILLOR,"1,380","4,218",ELECTED,NO
Orillia C,HEHN,PAT,LOCAL COUNCILLOR,"1,179","4,218",ELECTED,NO
Oro-Medonte Tp,HUGHES,HARRY,MAYOR, -   , -   ,ACCLAIMED,YES
Oro-Medonte Tp,HOUGH,RALPH,DEPUTY MAYOR, -   , -   ,ACCLAIMED,YES
Oro-Medonte Tp,COUTANCHE,BARBARA,LOCAL COUNCILLOR,671,"1,116",ELECTED,NO
Oro-Medonte Tp,MACPHERSON,SCOTT,LOCAL COUNCILLOR,498,834,ELECTED,NO
Oro-Medonte Tp,HALL,PHIL,LOCAL COUNCILLOR,623,969,ELECTED,NO
Oro-Medonte Tp,CRAWFORD,JOHN,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Oro-Medonte Tp,JERMEY,SCOTT,LOCAL COUNCILLOR,757,890,ELECTED,NO
Oshawa C,HENRY,JOHN,MAYOR,"14,084","28,783",ELECTED,YES
Oshawa C,DIAMOND,NANCY,LOCAL AND REGIONAL COUNCILLOR,"15,620","150,914",ELECTED,YES
Oshawa C,ENGLAND,AMY,LOCAL AND REGIONAL COUNCILLOR,"13,518","150,914",ELECTED,YES
Oshawa C,CARTER,DAN,LOCAL AND REGIONAL COUNCILLOR,"12,041","150,914",ELECTED,NO
Oshawa C,PIDWERBECKI,NESTER,LOCAL AND REGIONAL COUNCILLOR,"11,890","150,914",ELECTED,YES
Oshawa C,AKER,JOHN,LOCAL AND REGIONAL COUNCILLOR,"11,529","150,914",ELECTED,YES
Oshawa C,NEAL,JOHN,LOCAL AND REGIONAL COUNCILLOR,"10,563","150,914",ELECTED,YES
Oshawa C,CHAPMAN,BOB,LOCAL AND REGIONAL COUNCILLOR,"9,374","150,914",ELECTED,YES
Oshawa C,SANDERS,DOUG,LOCAL COUNCILLOR,"8,751","29,271",ELECTED,YES
Oshawa C,SHEILDS,JOHN,LOCAL COUNCILLOR,"8,232","29,271",ELECTED,NO
Oshawa C,KERR,RICK,LOCAL COUNCILLOR,"8,145","29,271",ELECTED,NO
Peel R,JEFFREY,LINDA,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,MOORE,ELAINE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,MEDEIROS,MARTIN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,PALLESCHI,MICHAEL,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,MILES,GAEL,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,SPROVIERI,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,TOVEY,JIM,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,RAS,KAREN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,FONSECA,CHRIS,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,DALE,FRANK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,PARRISH,CAROLYN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,STARR,RON,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,IANNICCA,NANDO,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,MAHONEY,MATT,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,SAITO,PAT,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,MCFADDEN,SUE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,CARLSON,GEORGE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,SHAUGHNESSY,BARB,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,DOWNEY,JOHANNA,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,INNIS,JENNIFER,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,GROVES,ANNETTE,LOCAL AND REGIONAL COUNCILLOR,,,,NO
Peel R,CROMBIE,BONNIE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Peel R,THOMPSON,ALLAN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Pelham T,AUGUSTYN,DAVE,MAYOR,"3,256","6,076",ELECTED,YES
Pelham T,JUNKIN,MARVIN,LOCAL COUNCILLOR,"1,017","1,843",ELECTED,NO
Pelham T,RYBIAK,RICHARD,LOCAL COUNCILLOR,"1,145","1,843",ELECTED,YES
Pelham T,ACCURSI,GARY,LOCAL COUNCILLOR,"1,000","2,165",ELECTED,YES
Pelham T,KING,CATHERINE,LOCAL COUNCILLOR,"1,065","2,165",ELECTED,YES
Pelham T,DURLEY,JOHN,LOCAL COUNCILLOR,"1,111","2,119",ELECTED,YES
Pelham T,PAPP,PETER,LOCAL COUNCILLOR,"1,161","2,119",ELECTED,YES
Penetanguishene T,MARSHALL,GERRY,MAYOR,"2,257","3,315",ELECTED,YES
Penetanguishene T,DUBEAU,ANITA,DEPUTY MAYOR,"1,723","3,315",ELECTED,NO
Penetanguishene T,RAWSON,DOUG,LOCAL COUNCILLOR,"1,030","1,511",ELECTED,NO
Penetanguishene T,LAROSE,DAN,LOCAL COUNCILLOR,746,"1,511",ELECTED,NO
Penetanguishene T,LEVY,DEBBIE,LOCAL COUNCILLOR,731,"1,511",ELECTED,YES
Penetanguishene T,LEROUX,DOUG,LOCAL COUNCILLOR,"1,098","1,804",ELECTED,NO
Penetanguishene T,MAYOTTE,MICHEL,LOCAL COUNCILLOR,"1,094","1,804",ELECTED,YES
Penetanguishene T,SAUNDERS,BRAD,LOCAL COUNCILLOR,928,"1,804",ELECTED,YES
Penetanguishene T,LAUDER,MIKE,LOCAL COUNCILLOR,816,"1,804",ELECTED,NO
Pickering C,RYAN,DAVE,MAYOR,"14,410","22,453",ELECTED,YES
Pickering C,O'CONNELL,JENNIFER,LOCAL AND REGIONAL COUNCILLOR,"5,555","7,707",ELECTED,YES
Pickering C,MCLEAN,BILL,LOCAL AND REGIONAL COUNCILLOR,"4,033","5,853",ELECTED,YES
Pickering C,PICKLES,DAVID,LOCAL AND REGIONAL COUNCILLOR,"4,301","8,304",ELECTED,YES
Pickering C,ASHE,KEVIN,LOCAL COUNCILLOR,"3,581","7,740",ELECTED,YES
